exercise,w1,r1,w2,r2,volume,delta_weight,delta_reps,session_gap,session_date,next_weight,next_reps
Back Extension (Weighted Hyperextension),5.0,10,0.0,3,50.0,-5.0,-7.0,6.91875,2025-11-23T06:45:00+00:00,0.0,15.0
Back Extension (Weighted Hyperextension),5.0,12,0.0,8,60.0,-5.0,-4.0,10.240277777777777,2025-11-30T04:48:00+00:00,5.0,14.0
Back Extension (Weighted Hyperextension),5.0,16,0.0,12,150.0,-5.0,-4.0,3.761111111111111,2025-12-10T10:34:00+00:00,5.0,17.0
Back Extension (Weighted Hyperextension),5.0,7,0.0,12,210.0,-5.0,5.0,14.00625,2025-12-14T04:50:00+00:00,7.5,14.0
Back Extension (Weighted Hyperextension),5.0,12,0.0,10,165.0,-5.0,-2.0,6.981944444444444,2025-12-28T04:59:00+00:00,7.5,19.0
Back Extension (Weighted Hyperextension),10.0,15,5.0,7,327.5,-5.0,-8.0,7.008333333333334,2026-01-04T04:33:00+00:00,7.5,20.0
Back Extension (Weighted Hyperextension),10.0,15,7.5,6,345.0,-2.5,-9.0,21.019444444444446,2026-01-11T04:45:00+00:00,7.5,15.0
Back Extension (Weighted Hyperextension),7.5,15,7.5,15,225.0,0.0,0.0,17.219444444444445,2026-02-01T05:13:00+00:00,7.5,18.0
Back Extension (Weighted Hyperextension),7.5,18,10.0,13,265.0,2.5,-5.0,3.7715277777777776,2026-02-18T10:29:00+00:00,5.0,18.0
Back Extension (Weighted Hyperextension),10.0,13,5.0,8,260.0,-5.0,-5.0,13.222916666666666,2026-02-22T05:00:00+00:00,7.5,20.0
Back Extension (Weighted Hyperextension),7.5,20,10.0,13,280.0,2.5,-7.0,4.15625,2026-03-07T10:21:00+00:00,10.0,16.0
Back Extension (Weighted Hyperextension),10.0,12,5.0,8,320.0,-5.0,-4.0,3.6597222222222223,2026-03-11T14:06:00+00:00,10.0,18.0
Back Extension (Weighted Hyperextension),10.0,15,5.0,10,380.0,-5.0,-5.0,3.33125,2026-03-15T05:56:00+00:00,10.0,17.0
Back Extension (Weighted Hyperextension),10.0,16,7.5,5,367.5,-2.5,-11.0,3.642361111111111,2026-03-18T13:53:00+00:00,10.0,20.0
Behind the Back Curl (Cable),10.0,6,5.0,10,730.0,-5.0,4.0,6.990277777777778,2025-12-03T10:48:00+00:00,10.0,22.0
Behind the Back Curl (Cable),10.0,15,5.0,20,995.0,-5.0,5.0,4.959722222222222,2025-12-10T10:34:00+00:00,10.0,23.0
Behind the Back Curl (Cable),10.0,18,5.0,20,1060.0,-5.0,2.0,2.061111111111111,2025-12-15T09:36:00+00:00,10.0,25.0
Behind the Back Curl (Cable),10.0,18,5.0,20,1015.0,-5.0,2.0,4.980555555555555,2025-12-17T11:04:00+00:00,15.0,19.0
Behind the Back Curl (Cable),10.0,20,5.0,22,1165.0,-5.0,2.0,1.9916666666666667,2025-12-22T10:36:00+00:00,15.0,20.0
Bicep Curl (Barbell),25.0,10,20.0,12,1305.0,-5.0,2.0,35.05486111111111,2025-06-02T10:54:00+00:00,20.0,20.0
Bicep Curl (Cable),15.0,12,10.0,12,1475.0,-5.0,0.0,14.213194444444444,2025-06-30T09:20:00+00:00,20.0,22.0
Bicep Curl (Cable),15.0,10,10.0,8,1470.0,-5.0,-2.0,1.9548611111111112,2025-07-14T14:27:00+00:00,20.0,23.0
Bicep Curl (Cable),15.0,8,10.0,12,1400.0,-5.0,4.0,6.966666666666667,2025-07-16T13:22:00+00:00,20.0,25.0
Bicep Curl (Cable),20.0,10,15.0,8,1695.0,-5.0,-2.0,5.010416666666667,2025-07-23T12:34:00+00:00,20.0,26.0
Bicep Curl (Cable),25.0,22,15.0,15,1845.0,-10.0,-7.0,1.9986111111111111,2025-07-28T12:49:00+00:00,20.0,23.0
Bicep Curl (Cable),15.0,10,10.0,8,1615.0,-5.0,-2.0,13.997222222222222,2025-07-30T12:47:00+00:00,20.0,26.0
Bicep Curl (Cable),25.0,22,15.0,12,1775.0,-10.0,-10.0,6.908333333333333,2025-08-13T12:43:00+00:00,20.0,28.0
Bicep Curl (Cable),25.0,18,15.0,18,1780.0,-10.0,0.0,22.152083333333334,2025-08-20T10:31:00+00:00,20.0,25.0
Bicep Curl (Cable),25.0,21,15.0,15,1850.0,-10.0,-6.0,26.59027777777778,2025-09-11T14:10:00+00:00,20.0,25.0
Bicep Curl (Cable),25.0,15,15.0,17,1705.0,-10.0,2.0,7.293055555555555,2025-10-08T04:20:00+00:00,20.0,27.0
Bicep Curl (Cable),15.0,15,10.0,15,1990.0,-5.0,0.0,6.629166666666666,2025-10-15T11:22:00+00:00,25.0,20.0
Bicep Curl (Cable),10.0,15,25.0,20,500.0,15.0,5.0,5.338888888888889,2025-10-22T02:28:00+00:00,25.0,22.0
Bicep Curl (Cable),30.0,12,20.0,13,1530.0,-10.0,1.0,3.0145833333333334,2025-10-27T10:36:00+00:00,20.0,24.0
Bicep Curl (Cable),20.0,12,15.0,12,1770.0,-5.0,0.0,6.003472222222222,2025-10-30T10:57:00+00:00,20.0,28.0
Bicep Curl (Cable),30.0,16,20.0,12,1805.0,-10.0,-4.0,5.027083333333334,2025-11-05T11:02:00+00:00,30.0,20.0
Bicep Curl (Cable),25.0,12,20.0,12,2150.0,-5.0,0.0,1.992361111111111,2025-11-10T11:41:00+00:00,25.0,23.0
Bicep Curl (Cable),25.0,10,15.0,13,2135.0,-10.0,3.0,6.967361111111111,2025-11-12T11:30:00+00:00,30.0,23.0
Bicep Curl (Cable),35.0,15,25.0,16,2335.0,-10.0,1.0,25.95347222222222,2025-11-19T10:43:00+00:00,25.0,28.0
Bicep Curl (Cable),35.0,17,25.0,12,2345.0,-10.0,-5.0,23.147222222222222,2025-12-15T09:36:00+00:00,25.0,24.0
Bicep Curl (Dumbbell),7.5,8,5.0,12,680.0,-2.5,4.0,13.969444444444445,2025-05-26T09:57:00+00:00,5.0,22.0
Bicep Curl (Dumbbell),10.0,6,7.5,11,770.0,-2.5,5.0,14.01875,2025-06-09T09:13:00+00:00,5.0,24.0
Bicep Curl (Dumbbell),7.5,12,10.0,8,522.5,2.5,-4.0,9.05486111111111,2025-06-23T09:40:00+00:00,7.5,18.0
Bicep Curl (Dumbbell),7.5,15,5.0,15,535.0,-2.5,0.0,7.093055555555556,2025-07-02T10:59:00+00:00,10.0,20.0
Bicep Curl (Dumbbell),10.0,15,7.5,5,667.5,-2.5,-10.0,144.88611111111112,2025-07-09T13:13:00+00:00,10.0,16.0
Bicep Curl (Dumbbell),10.0,16,7.5,18,927.5,-2.5,2.0,27.99861111111111,2025-12-01T10:29:00+00:00,7.5,20.0
Bicep Curl (Dumbbell),5.0,12,2.5,15,600.0,-2.5,3.0,1.8006944444444444,2025-12-29T10:27:00+00:00,7.5,22.0
Bicep Curl (Dumbbell),7.5,12,2.5,20,765.0,-5.0,8.0,5.199305555555555,2025-12-31T05:40:00+00:00,7.5,25.0
Bicep Curl (Dumbbell),7.5,13,5.0,15,775.0,-2.5,2.0,2.1118055555555557,2026-01-05T10:27:00+00:00,10.0,12.0
Bicep Curl (Dumbbell),5.0,15,2.5,20,415.0,-2.5,5.0,5.007638888888889,2026-01-07T13:08:00+00:00,10.0,20.0
Bicep Curl (Dumbbell),10.0,13,5.0,17,787.5,-5.0,4.0,6.878472222222222,2026-01-12T13:19:00+00:00,10.0,23.0
Bicep Curl (Dumbbell),5.0,22,2.5,15,942.5,-2.5,-7.0,2.1166666666666667,2026-01-19T10:24:00+00:00,10.0,25.0
Bicep Curl (Dumbbell),7.5,25,5.0,18,920.0,-2.5,-7.0,3.6729166666666666,2026-01-21T13:12:00+00:00,7.5,16.0
Bicep Curl (Dumbbell),5.0,12,2.5,15,497.5,-2.5,3.0,3.3291666666666666,2026-01-25T05:21:00+00:00,7.5,22.0
Bicep Curl (Dumbbell),7.5,10,5.0,8,650.0,-2.5,-2.0,5.079166666666667,2026-01-28T13:15:00+00:00,7.5,25.0
Bicep Curl (Dumbbell),7.5,14,5.0,18,802.5,-2.5,4.0,1.8097222222222222,2026-02-02T15:09:00+00:00,10.0,18.0
Bicep Curl (Dumbbell),5.0,14,2.5,16,410.0,-2.5,2.0,5.009027777777778,2026-02-04T10:35:00+00:00,7.5,20.0
Bicep Curl (Dumbbell),5.0,12,2.5,15,522.5,-2.5,3.0,2.095833333333333,2026-02-09T10:48:00+00:00,7.5,22.0
Bicep Curl (Dumbbell),10.0,12,5.0,20,535.0,-5.0,8.0,5.084027777777778,2026-02-11T13:06:00+00:00,7.5,23.0
Bicep Curl (Dumbbell),10.0,15,7.5,12,800.0,-2.5,-3.0,1.8069444444444445,2026-02-16T15:07:00+00:00,10.0,18.0
Bicep Curl (Dumbbell),12.5,8,7.5,15,467.5,-5.0,7.0,5.044444444444444,2026-02-18T10:29:00+00:00,10.0,20.0
